year,player,games_played,mpg,true_shot,per,value_added,wins_added
2024,Caleb Houstan,58,13.6,0.605,9.46,-15.7,-0.5
2024,AJ Green,73,22.7,0.621,9.25,-38.5,-1.3
2024,Noah Clowney,46,22.7,0.516,9.23,-24.4,-0.8
2024,Delon Wright,40,15.9,0.44,9.19,0,0
2024,Ben Sheppard,63,19.5,0.555,9.17,-29.9,-1
2024,Kris Murray,69,15.1,0.472,9.14,-25.8,-0.9
2024,Bub Carrington,82,30,0.514,9.08,-63.2,-2.1
2024,Patrick Williams,63,25,0.512,9.01,0,0
2024,Lindy Waters III,52,15,0.504,8.88,-22.3,-0.7
2024,Kyshawn George,68,26.5,0.503,8.86,-52.1,-1.7
2024,Andre Jackson Jr.,67,14.6,0.554,8.64,-31.7,-1.1
2024,Micah Potter,38,18.6,0.563,8.53,-23.9,-0.8
2024,Elfrid Payton,24,21.3,0.34,8.49,0,0
2024,Nick Smith Jr.,60,22.8,0.502,8.39,-49.3,-1.6
2024,KJ Simpson,36,23.4,0.437,8.37,-30.5,-1
2024,Dillon Jones,54,10.2,0.464,8.11,-22.1,-0.7
2024,DaQuan Jeffries,47,22.8,0.518,7.96,0,0
2024,Josh Green,68,27.8,0.559,7.87,0,0
2024,Tidjane Salaun,60,20.7,0.457,7.73,0,0
2024,Gabe Vincent,72,21.2,0.536,7.44,0,0
2024,Cam Reddish,33,17.8,0.498,7.39,0,0
2024,Jett Howard,60,11.7,0.491,7.17,-38,-1.3
2024,AJ Johnson,29,22,0.48,7.15,-34.7,-1.2
2024,Gary Harris,48,14.8,0.524,6.94,0,0
2024,Vasilije Micic,41,19.1,0.462,6.52,-50.2,-1.7
2024,Maxi Kleber,34,18.7,0.489,5.66,0,0
2024,Cody Williams,50,21.2,0.419,3.68,-112.7,-3.8
